Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,raw_imu_string
1712109947.3298526,32598,1712109947,329202651,imu1_frame,0,0,0,,0.03712916017522892,-0.00699153106661596,-0.49908434260726264,0.8657293820370794,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.038422,-0.022942,0.018442,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.619,-0.463,-9.715,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.19,-0.0981,0.0914,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.875,+001.430,+004.088,+00.1900,-00.0981,+00.0914,+00.619,-00.463,-09.715,+00.038422,-00.022942,+00.018442"
1712109947.35484,32599,1712109947,354273319,imu1_frame,0,0,0,,0.037371585372408755,-0.007404402863901548,-0.49889390866313793,0.8658252752858391,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.03132,-0.018786,0.016937,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.688,-0.524,-9.753,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1902,-0.0987,0.0923,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.851,+001.402,+004.136,+00.1902,-00.0987,+00.0923,+00.688,-00.524,-09.753,+00.031320,-00.018786,+00.016937"
1712109947.38009,32600,1712109947,379413366,imu1_frame,0,0,0,,0.0376715470695166,-0.007770068130697404,-0.4987123055446758,0.8659136890481337,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.035341,-0.014061,0.016387,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.801,-0.577,-9.646,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1902,-0.0994,0.092,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.828,+001.382,+004.187,+00.1902,-00.0994,+00.0920,+00.801,-00.577,-09.646,+00.035341,-00.014061,+00.016387"
1712109947.4050853,32601,1712109947,404292345,imu1_frame,0,0,0,,0.038047332615156484,-0.008109114769823997,-0.4985391670629916,0.8659938461921425,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.038239,-0.00853,0.015705,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.83,-0.457,-9.685,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1889,-0.0976,0.0947,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.806,+001.369,+004.244,+00.1889,-00.0976,+00.0947,+00.830,-00.457,-09.685,+00.038239,-00.008530,+00.015705"
1712109947.4300015,32602,1712109947,429318428,imu1_frame,0,0,0,,0.038510813498653186,-0.008418297657362767,-0.49837469164137876,0.8660650762151679,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.053167,-0.00386,0.015779,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.835,-0.514,-9.574,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1892,-0.1023,0.0945,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.785,+001.364,+004.308,+00.1892,-00.1023,+00.0945,+00.835,-00.514,-09.574,+00.053167,-00.003860,+00.015779"
1712109947.4548945,32603,1712109947,454298734,imu1_frame,0,0,0,,0.03902296695634443,-0.008695656826264993,-0.49822631933456685,0.8661247764177021,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.04889,0.000352,0.012706,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.573,-0.722,-9.924,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1889,-0.0981,0.095,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.766,+001.365,+004.375,+00.1889,-00.0981,+00.0950,+00.573,-00.722,-09.924,+00.048890,+00.000352,+00.012706"
1712109947.4799547,32604,1712109947,479317426,imu1_frame,0,0,0,,0.039558017749525304,-0.008915556817718556,-0.4980795465858735,0.8661826835899974,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.042614,0.004309,0.011814,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.557,-0.889,-9.993,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1882,-0.0989,0.0949,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.747,+001.373,+004.441,+00.1882,-00.0989,+00.0949,+00.557,-00.889,-09.993,+00.042614,+00.004309,+00.011814"
1712109947.5050254,32605,1712109947,504314661,imu1_frame,0,0,0,,0.039973214400205515,-0.009046630715008809,-0.4979420677247061,0.8662413045989354,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.026717,0.007373,0.01222,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.273,-0.927,-10.322,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1885,-0.0974,0.0918,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.729,+001.383,+004.490,+00.1885,-00.0974,+00.0918,+00.273,-00.927,-10.322,+00.026717,+00.007373,+00.012220"
1712109947.5299156,32606,1712109947,529280424,imu1_frame,0,0,0,,0.04018882009958695,-0.009052016510755913,-0.49779182631187435,0.8663176192327967,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.004282,0.008589,0.014717,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.119,-1.108,-10.487,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1887,-0.101,0.0955,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.709,+001.394,+004.512,+00.1887,-00.1010,+00.0955,+00.119,-01.108,-10.487,+00.004282,+00.008589,+00.014717"
1712109947.5548463,32607,1712109947,554246902,imu1_frame,0,0,0,,0.04010318246511478,-0.008863794947102831,-0.4976377172769148,0.8664120672282485,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.02726,0.011998,0.01392,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.021,-1.552,-10.502,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1882,-0.0989,0.0938,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.688,+001.407,+004.493,+00.1882,-00.0989,+00.0938,-00.021,-01.552,-10.502,-00.027260,+00.011998,+00.013920"
1712109947.5798554,32608,1712109947,579255819,imu1_frame,0,0,0,,0.03959512347197712,-0.00841301289859488,-0.4974882673255868,0.8665257476178032,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.071037,0.014632,0.016161,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.302,-1.664,-10.721,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1872,-0.0984,0.0963,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.667,+001.422,+004.417,+00.1872,-00.0984,+00.0963,-00.302,-01.664,-10.721,-00.071037,+00.014632,+00.016161"
1712109947.6048374,32609,1712109947,604179859,imu1_frame,0,0,0,,0.03865194700578323,-0.007650235406228506,-0.4972985730445647,0.8666842736191374,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.117837,0.019728,0.018581,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.155,-1.712,-10.611,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1874,-0.1015,0.0966,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.640,+001.443,+004.280,+00.1874,-00.1015,+00.0966,-00.155,-01.712,-10.611,-00.117837,+00.019728,+00.018581"
1712109947.6299145,32610,1712109947,629216432,imu1_frame,0,0,0,,0.03726875160159638,-0.006514428248988397,-0.4970989872795011,0.8668686170489402,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.160303,0.028585,0.017002,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.112,-1.761,-10.681,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.187,-0.1017,0.0943,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-059.611,+001.476,+004.078,+00.1870,-00.1017,+00.0943,+00.112,-01.761,-10.681,-00.160303,+00.028585,+00.017002"
